questions,answers
How does a computer know what to do with binary code 01000001? How does the computer know this means A who told the computer?,"To get started thinking about this, it would be a good idea to not use the word “know”. A better really simple analogy is how keys and locks work, where the lock is set up physically to accept or resist the carved patterns on keys. We generally would not "
How does a computer work? Explain with an example.,"Originally Answered: How do I explain how a computer works in my own words?
In the answer to the parent question, Jay Nabonne gives an excellent suggestion: to find ways to understand computers, then try to explain them yourself to others (which will gene"
What does Alan Kay think about the harmony-oriented programming paradigm (https://dl.acm.org/doi/abs/10.1145/1449814.1449872)?,"Originally Answered: What does Alan Kay think about the harmony-oriented programming paradigm (https://dl.acm.org/ DOI/10.1145/1449814.1449872)?
This URL results in a 404 error (the correct URL is in a comment). This is a very short speculative paper. In "
"What are some tips for a 16-year-old that wants to be a professor in computer science, specifically in type theory and programming language theory?","I think the best way to be a professor in a subject is to first become a first class practitioner in the subject, and gradually learn how to explain it and help all levels of interested people to learn it. A good doer does not automatically become a good "
Is it possible to have a computer without critical section?,"Somebody (a gremlin?) changed the question after my answer to include the word “multiprocessing” (which makes a different context).

New answer is still “more or less yes”, but with a few twists. For example, some of the earliest multiprocessing was done "
What is the origin of model-view-controller?,Ivan Sutherland — the inventor-originator of interactive computer graphics — had the idea of a clipping window to see a part of the very large Sketchpad world. This wound up being a program structure roughly like a camera which had an aperture that could 
What was the output of the computer when there was no screen and speaker?,"My vote for the first really working programmable computer is the EDSAC by Maurice Wilkes. One of its intrinsic output devices was three CRT display tubes that looked at various portions of the machine, including the memory.



Using bits in memory to sho"
Computer Scientists: if you had to recommend just a single book to try and teach someone computer science what would it be?,"My parallel to this question would be to replace “computer science” with “Physics”.

60 plus years ago when I went to college, good answers would have been “Sears and Zemansky” or “Halliday and Resnick”. These were both thick tomes aimed at more than a ye"
"Can they discover a way for programming digital devices without programming languages? If yes, like what?","Punched card machines, e.g. from IBM were digital devices that were programmed with plug board wiring, not programming languages. Some of them were quite capable.


I did a little of this in the early 60s before learning the 1401 in the Air Force …"
The dominant paradigm is modern programming languages is Object-Oriented. Why should developers abandon this paradigm and adopt Golang if their application doesn't have huge number of concurrent IO requests?,"As I tried to point out in a previous answer, I don’t think that “object-oriented” is a “programming paradigm”; instead it is a way to define computational things at will (because the building blocks are semantically whole computers). So it is basically a"
What does a computer without an operating system look like?,"Like many computers of the late 40s, the 50s, and into the 60s. They were “bare” HW plus a few external utility programs, for example, the IBM 1401, or early DEC computers.

Sometimes one would write what today might be called a “mini-operating system” to"
How did Ada start programming when computers were not invented?,"You don’t need a computer to write a program, or to execute it. For example, an early algorithm that was done by hand for many years was the greatest common divider (one of the earliest is attributed to Euclid).

One of Ada’s programs was how one would co"
What guidelines would Alan Kay recommend to model something confusing?,"First, is the area “intrinsically confusing” or can the modeling clear things up?

I think of most things that have a “systems nature” as being the former, so I like the idea of “multiple covering heuristics” that together can handle the errors etc of the"
What paradigm is the successor to OOP?,"“OOP” (as I think of it at least) is not really a programming paradigm, but is much more a workable “universal definition” scheme, and that is especially suited for defining large systems.

It is basically an abstraction of an unlimited number of complete"
What does Alan Kay think about Douglas Lenat's Cyc?,"CYC is such a large complex and long lasting effort, that it doesn’t fit within the scope of a Quora answer. But as with most artifacts in computing, commentary can be somewhat separated into the *idea* of a system, and the processes to *implement* the sy"
"Where does Alan Kay see computing in both science and industry going, in terms of systems and how we think about them?","I’ve been much more effective at doing things than in armchair predicting, so I don’t know what to say here.

Over the last several years I’ve been asked to do a number of talks on “Software Engineering” (they are on YouTube), and each talk took on differ"
What's the point of life?,The point of life is to live life with a point
"Has Alan Kay voiced any opinions about cryptoeconomics, blockchains, and related ""crypto"" ideas currently gaining a lot of exposure?",I haven’t. I feel I need more supported opinions — right now I have “feelings”
Is it true that the first computer was a loom? How is a loom a computer?,Here is an answer that specifically covers your question about looms: How was the first computer operating system made if there were no programming languages?
How and when did digital computers come into existence?,"This question needs to be crisped up a bit. “Digital” happened before computing. And many computers were not programmable. Computing was done long before computing machinery was made and worked.

Etc.

Lots of people realized it was possible, and wanted i"
"What do you think about the idea of writing at least parts of law (some legal acts) in a technical language that would actually be a programming language? (So ""computable law"")",I got asked to give a keynote last year at the Stanford FutureLaw conference on Computational Law (yes there is one). Start at 1:25 if needed.
"All of the existing programming languages are based on English. And some are far more problematic, as seen by the code poem ""Black Perl."" What would an inclusive, progressive programming language look like?","Start by looking at “chimera” artificial languages, such as Esperanto or Interlingua. Personally, I don’t think this helps much if at all for programming."
"What does Alan Kay think are the most interesting people, projects, and organizations working on education today?",I’m not comprehensive enough to give a good answer. But the most interesting computer related one is definitely Bret Victor’s “Dynamicland” (check it out on YouTube).
Why did the designers of Smalltalk decide not to have traditional operator precedence for basic arithmetic? Did this decision lead to a more efficient interpreter?,"For the same reason as Ken Iverson chose for APL. When you have an operator rich expression language, it’s better to have one rule than 100. Lisp did it the other way: by explicitly showing the bracketing of scope."
Why did Dijkstra say that “Object-oriented programming is an exceptionally bad idea which could only have originated in California.”?,"When I heard this, I thought it was really funny for a number of reasons — Edsger and I were friendly (via Bob Barton) and he loved to come up with snide funny comments.

However, he certainly knew Nygaard and Dahl (of Simula fame) and that they were Norw"
How might computer science evolve to be worthy of winning a Field Medal or a Nobel Prize?,"Or vice versa? That would be interesting also.

In any case, it is strongly rumored that Nobel didn’t like mathematicians, so for whatever reason there is no Nobel for math.

And there is this to contemplate (which equates a variety of prizes that the Nob"
What are Dijkstra's major objectives for the development of structured programs?,"It’s very difficult to do sufficient justice to Edsger. Besides being a foundational computer scientist — in the original strict senses of the term — he was also one of just a few critical gadflies for our whole field, and especially both CS and SE.

One "
What were interviews like at Xerox PARC?,"In brief: in the first few years of Parc, Bob Taylor wanted “only top people” (meaning “really top people”), and wanted to eliminate rivalries as much as possible.

So he set up a laborious process in which everyone had to interview a candidate, and then "
"Why is human communication being advanced by so many revolutionary and very popular technologies while human collaboration isn't? In order to communicate, one must first collaborate, right? Why so much help to ""share"" and (almost?) none to promise?","There is a lot of excellent content related to this question already on Quora.

It’s worth pondering two built-in human drives — competition and cooperation — and how they have played out in various cultures over history. We are social, and both want to ("
"Who is the person to whom the invention of the computer is really credited to? There are different views on this particular issue; Alan Turing, John Von Neumann, Charles Babbage?","Goethe once wrote: “We should all share in the excitement of discovery, without vain attempts to claim priority”. I like this because it invites celebration of many ideas from many sources at many times. And it also still allows us to identify real “super"
Why do some media amplify cognition more than others?,"A comprehensive answer is beyond the size of a Quora response.

But we are “thinking” all the time, and part of our thinking is highly influenced by the information given to us by our senses: especially kinesthetics/touch, visual/configurative, symbols. T"
How can I incorporate a historic/literary approach to a topic about computer science?,I like to bring in important events in the history of computing when writing about contemporary issues. The main reason is that a very high percentage of computerists are quite ignorant of what has happened — especially since things got rolling in the 40s
"According to Alan Kay, LISP's metacircular interpreter serves as the ""Maxwell's equations of software"". What are then the Einstein's field equations of software?",I think I said “Maxwell’s Equations of programming” … and I think this metaphor works pretty well for the late 50s and early 60s when Lisp appeared. It showed “in one eyeful” a very powerful way to model a superset of the kind of programming that was bein
What did people at Xerox PARC think of the work Apple was doing?,"Here is a different way things could have gone …

The three largest intertwined visions of the computer future we were committed to, all burst into view in 1962: Ivan Sutherland’s Sketchpad, Doug Engelbart’s “Augmenting Human Intellect”, and Licklider’s “"
How did people at Xerox PARC navigate dealing with the corporate side of Xerox?,"There were different personalities at Parc with differing relationships and needs with corporate; likewise, Xerox was a large rich corporation with many divisions and somewhat like “England before the Magna Carta”.

So some relationships were cordial, som"
"How was software complexity changing as new technologies were introduced from machine code, through assembler to high-level languages and beyond?","A too short but pretty accurate answer is that HLL languages and architectures “almost always” lagged the demands of the software, and this resulted in more complexity than could have been the case.

Some of the exceptions are interesting. E.g. the B5000 "
"What is the idea that is better than semphores from John McCarthy in 60s? KEYNOTE 1: Alan Kay - Rethinking Design, Risk, and software watching this on YouTube 38:00","I’ve explained John’s idea of “pseudotime” in a number of Quora answers. Perhaps you or someone might locate these …

Thanks to Dane Clarke for these references:

Here’s a few that are fairly relevant: Alan Kay's answer to What's the best way of combining"
Why hasn't Xerox PARC explored the stylus in the Alto era?,"We did aim for the stylus at Parc, and this was from experience with the GRAIL system at RAND especially (and GRAIL featured dragging via a stylus).

My thesis project — The Flex Machine — also had a stylus/tablet that was less expensive than RAND’s and n"
Why didn't Alan Kay show up when Adele Goldberg arranged the meeting with Carl Helmers in PARC?,"First, I’ve heard of it. When was the meeting?"
Why was there a mismatch between Xerox management and PARC?,"Parc was set up in mid-1970 as an initiative of the Chief Scientist Jack Goldman and backed by CEO Peter McCullough.

Bob Taylor — former ARPA director, and funder of the ARPAnet — was hired ca Sept ’70 to set up the computing research lab. He was interes"
Is Alan Kay the most influential person in the CS and IT fields?,I couldn’t possibly be …
"How is it that ""coding"" is a superior term to ""conceptualize"", if they mean essentially the same?","As far as my 60+ years of experience goes, the two terms don’t at all mean the same.

In the 50s and 60s especially, “coding” was the act of writing code, and was distinct from “programming” which included design, and often in terms of an abstract framewo"
What is Alan Kay's opinion on the Akka actor library?,"Hard to have an opinion without trying something major.

However, I like the idea of “actors” for a number of reasons (a) they are a reflection of the way I thought about “object-oriented message passing systems” in the 60s, and instigated Carl Hewitt’s w"
How do I master the art of Smalltalk?,"Let’s widen the question to: “How can I understand and use Smalltalk-like language/systems?”

A few basic ideas here are:

One way to model any system is via parts/wholes relationships where a part can be a whole system, and relationships are in terms of "
"Are there any known jazz guitarists who prefer playing on nylon string guitars, and if so, why do they prefer it, the sound or the feel of the instrument?","Sure: e.g. Charlie Byrd and more. I was a jazz guitarist who later learned classical, and much later started experimenting with jazz on classical. Basically, with my small hands, it was tough to do a lot of the jazz “reaches” on the classical instrument, "
What is the main difference between a software engineer and a Computer scientist?,"Worth starting with “differences between Engineering and Science, in general”.

Engineering was able to predate Science by thousands of years because “things can be made/repaired/etc. in principled ways” without having to understand just why a working thi"
How can I implement an online microtonal adjustment algorithm to get more perfect harmonics with a method to avoid drift?,"We did just that at Parc in the 70s, and not very completely. Today it could be done much better (and probably has been).

The idea is to try to imitate what singers and players of instruments that can shift pitch microtonally (bowed strings, winds, etc.)"
"What are the mental models, biases, and fallacies that software developers should know?",Only 17?
Is there a more precise way to describe software than with programming languages?,I’m using the definition that “a programming language is something that can take a representation and turn it into something that a computer can carry out”. But we could also think of a language that can describe processes that don’t run on a computer (th
"What does Alan Kay think about computer algebra system (e.g. SymPy and SageMath) usage in mathematics education, before graduate school? Would widespread use of powered cognition assists like these rot younger students' brains as some people fear?","“Education” and “Training” have some overlap — along the lines of “understanding” and “doing” — but the distinctions are quite useful to keep in mind. In all cases we want something beneficial to change/grow in the mind of the learner.

This implies that "
What was the world’s first high level programming language in 1957?,"Is this really two questions?

The simple answer is FORTRAN: it was by far the most developed, polished, and optimized HLL as of 1957.

At the next — less simple — level are quite a few things in the works.

Besides what Grace Hopper was doing — e.g. with"
Is it possible to create imaginary atoms of matter on a computer using only software graphics?,"I typed “simulated atoms” into YouTube and got many different videos showing various levels of physical simulations of atoms rendered using “software graphics”.

Several of these show actual constructed atoms from elementary particles. My favorite was the"
What do you think of RMOX operating system from U Kent in England? I am amazed it is 32 bit only and not 64 bit (maybe secretly used by Englands government) https://www.cs.kent.ac.uk/projects/ofa/kroc/rmox-cpa.pdf,"This is a “CSP” influenced design. I don’t like to criticize unless I’m willing to do it in substantiated detail, so I’ll just say here that there are other styles for dealing with concurrent modules that I like more."
I want to understand and learn Lisp. I saw one of your YouTube videos where you said few understand it even today. What is the best way to learn Lisp and the creation of really good software that like the internet is reliable?,"Lisp presents itself as “a kernel language with a library” and as a “metalanguage” and “metasystem”. It’s the latter that I think few in computing — in terms of percentages — have taken the trouble to learn and ponder deeply.

There are two main aspects t"
Are business interests and principled engineering often at odds?,"Take a look at “Challenger” and Thiokol, and the 737 Max and Boeing — as starters …
"
"What would ""software CAD/SIM"" look like?","Let’s try as close an analogy to modern Engineering (with a Big “E”) as we can. One of the processes is called CAD<->SIM<->FAB(rication), and the idea is to solve as many design problems as possible in the CAD<->SIM part.

CAD is a set of tools for making"
Has Lisp ever been implemented iteratively?,"I’m not sure I understand this question clearly.

But the first implementation by Steve Russell — and many since — was done by writing a loop that manipulated structures in memory to create the equivalent of a recursive eval-apply. Take a look at the latt"
What language was ALGOL 58 written in?,“BALGOL” (Burroughs Algol) was a version of Algol 58 that was implemented on the Burroughs 205 and 220 computers in pretty much the same machine code — the two machines were quite similar (good portions of this by Don Knuth).
How does one get as close as possible to mastering software engineering?,"“Engineering” is making something in a principled way — so there is definitely a “software engineering” of a sort.

The idea was articulated in the 1960s as a *aspiration* because the “principled ways” known in computing did not compare strongly with wher"
What are the limitations discovered in the early programming language that triggered the need for OOP?,"The earliest programming was in the forms of the earliest computers: to find resources in memory — usually numbers, or numbers standing for something (like a text character) — and doing something with them: often changing them or making something and putt"
Did Xerox PARC have time constraints?,"I was not aware of any during the period I was there, from late ’70 to ‘81.

However, we did often put them on our own projects — and for various reasons. For example, when we decided to make our own PDP-10 when corporate nixed buying one and wanted Parc "
Did the Xerox PARC children had any problems context-switching between traditional math precedence rules and Smalltalk alternative left-to-right evaluation order? Would Mathematics change significantly if left-to-right evaluation were widely adopted?,"We made the decision not to have precedence for the very same reason APL did: if you have lots of operators, just remembering precedence starts to become a burden. The kids had no trouble dealing with the (easier) left to right “consumption” idea, and I n"
How can a beginner develop thinking (computational and algorithmic) in programming?,"This question was asked by “Leonardo da Vinci”, and I wouldn’t like to deprive Leonardo of the pleasure of finding this out for himself.

Now that we’ve had some fun with this, here are a few contextual perspectives to get you started …

“computational” a"
What are some examples that demonstrate the usefulness of homoiconicity in programming?,"I don’t think it is that useful per se (the most important aspects of a programming language are to have both (a) the most powerful semantic frameworks for expressing meaning, and (b) to be as learnable and readable and “gistable” as possible for human us"
What caused the ADA to be created?,"The Wikipedia article is a good place to start: Ada (programming language) - Wikipedia High-level programming language first released in 1980 Ada Paradigm Multi-paradigm : structured , imperative , object-oriented , aspect-oriented , [ 1 ] concurrent , ar"
To what extent does each invention require the invention of jargon for that invention?,"Great question!

I like a process that seems generally unpopular, but has been extremely useful in science especially: that is to try to coin special words for the special new meanings, and part of getting fluent in the new knowledge is to get fluent with"
What is the best book for Research Methods in Computing?,"It would be fun and illuminating to see the opinions of others — either as answers or comments here.

The best book about the ARPA-IPTO/Parc research community (1962–1982 or so) is “The Dream Machine” by Mitchell Waldrop (it has been brought back into pri"
"Did Alan Kay give advice to Guido van Rossum on the design of Python? The language is said to have a object model that leans toward the original late-binding, kaynesian definition, instead of the abstract datatypes route taken by e.g. Java and C++.",I didn’t give Guido any advice on the design of Python. The aims of Python and its early history are easy to find with Google. Guido also wrote a blog with many articles about different aspects of Python history and development.
"In software engineering, when might pragmatism be harmful in the short term?","Almost always. As Don Knuth wrote long ago “Premature optimization is the root of all evil”.

If the term “engineering” is to mean anything in “software engineering”, the higher priorities all have to do with the longer term life cycle requirements of the"
Did Atari use the Forth language for any of their software?,"I was there from late 1981 to early 1984, and was not aware that FORTH was used in any Atari systems. However, it is certainly possible that a use escaped my notice."
Is it important to turn what is actually needed into a pop culture?,I think “just the opposite”. It’s important to turn pop cultures into “what is actually needed”.
Did UNIX fulfill or exceed the vision of the Multics project?,I thought Paul Green provided a good answer to a related question. Why did Unix succeed and not Multics? https://www.quora.com/Why-did-Unix-succeed-and-not-Multics The question here is about “the vision” of the two systems. I think that the Multics effort
What are some good books about what is actually needed in software engineering?,"I’ve been trying to find some (I got invited to do a keynote at a large upcoming Software Engineering conference, and have been looking to see if there is more of a consensus and higher level view already in the literature).

So far … one observation of w"
What is your review of The Pragmatic Programmer (1999 book)?,"I don’t have a detailed memory of the details of this 1999 book, but do remember some impressions.

The main one was that it — correctly I thought — addressed “programmers” in general as people who had not learned or done engineering in their past or as p"
Can processes notify operating system that their stack and heap will need this much of memory prior to starting? Or is it operating system's decision to give a predetermined amount of space for heap and stack for every process?,"Here is one of the many great ideas in the “Project Genie” OS (lead designer: Butler Lampson, and later used to launch commercial time-sharing, and for the Engelbart “Mother Of All Demos” towards the end of the 1960s).

The SDS computer was a 24-bit 0.5 M"
What is objective quality?,Try typing it into Google and looking at the first hit (that’s what I did …)
How was personal computing influenced by the hippie movement?,"The larger category of interest here is “the counterculture”, of which the hippies could be considered one branch (or possibly a parallel “counterculture”). For example, I think “The Whole Earth Catalog” is a “counterculture” medium rather than a “hippie”"
"In the STEPS report, an unresolved problem of massive intermodule coordination and communication is mentioned. Is it more of a hardware problem, or a software/design problem?","For a long time, this was a problem that never quite got worked on — it lost out to other problems — but one I thought “someone” should do (maybe us).

I tossed it into the list of techniques that would make STEPS interesting, and again, it didn’t quite m"
Could some kind of analogy be made up between object-orientation and set theory?,"At Parc, we put some thought into this. One idea was to see about relationships between the set of objects you retrieve in a search and that a Smalltalk class generates a set of objects which obey the description in the class.

One way to look at this is "
Can the concept of Unix pipes be added to apps and GUI's?,"The “pipe” idea in Unix was originated by Doug McIlroy in the early 70s, but the notion of interprocess communication was much earlier, and one of the first systems to use interprocess communication (and to invent “data-flow programming”) was by Bert Suth"
"What is the relationship among programming paradigm, object-oriented programming, and event-driven programming?","“OOP”, especially in its original form, is a comprehensive way to define any computational idea by using intercommunicating entities that are a single kind of universal building block with the semantics of a whole computer.

One of the most natural ways i"
What's the difference between levels and paradigms in programming? Can we talk about declarative and imperative paradigms only when talking about high level programming languages?,"Most computers in history, including most today, are set up to have many of their lowest level instructions be “commands” (in other words “imperative”), and especially with regard to rewriting lowest level memories.

A “declarative” form at the lowest lev"
What progress have computer scientists made toward solving the symbol grounding problem?,"Excellent question! Simple answers are “some”, “not a lot”, and “not a lot of work is going on these days on this problem”. (Note that David Vanderschel’s answer indicates that he thinks “imitations” by ML systems (ML as Judea Pearl points out is an exten"
Would a computer scientist from 1985 understand an iPhone and how it worked? Would they be able to take it apart and advance our civilization?,"1. Sure
2. Remove Twitter and Facebook?"
What elements of syntax should always be taken into account?,"“Syntax” is the position of something relative to the position of something else. It can be any dimension. It’s usually thought of as 1-dimension (as a string of characters or words, etc.) but in a GUI, quite a bit has to do with nearness and enclosures, "
How does a desktop environment work? How does a GUI work? Does the OS recognize where the mouse is and on top of what? Does it depend on the pixels color?,Here is the entire memory of the Xerox Parc Alto computer in the early 70s showing every bit. You can see that half of it was used to hold the bits (1 bit per pixel) that would show up on the 606x808 screen as black or white pixels). And here’s the Alto i
What's the best way of combining functional and OO programming in practice?,"I’m assuming that the terms in the question are contemporary “code words” for very particular practices that now have the labels “functional programming” and “object-oriented programming”.

I’m going to use much older and more original meanings. For examp"
"How did Smalltalk-80 manage to work with only 32,000 objects maximum (roughly)?","The simplest answers are that “it had to” and “we really wanted it to” and “we had Dan Ingalls”. The Alto computer (April 1973) for many years only had 128KB of RAM, organized as 64K 16 bit words, and roughly half of this was used for the 800x600 bit-map "
Is Object-Oriented Analysis to object-oriented design an easy transition?,"I’m pretty sure I don’t understand this question.

I think *design* in general is extremely difficult to do well. Most things that can be designed have a systems nature, and a good perspective on this will quite often lead to organizations that can be ren"
"Papers about the Smalltalk history refer to the importance of the Xerox Alto's design as a ""meta-computer"", in which many unanticipated needs could be emulated in microcode. Why modern computer architectures are not microcoded?","The idea of microcode was invented by Maurice Wilkes, a great pioneer who arguably made the earliest programmable computer — the EDSAC (pace Manchester Baby). The idea depends partly on the existence of a “large enough” memory that is much faster (3–10 ti"
Who created the first computer with GUI and in which language?,"Both of the “earliest” British computers — Cambridge EDSAC, Manchester Baby and Mark I — had electrostatic CRTs, which could show a limited 2D bit-map of part of storage, and both soon were used for games. But I have never been able to find any mention of"
When hobbyists built their own computers back in the 70s what applications did they write?,"That was a tough time for personal computing. Amongst the disenfranchised, there was a hunger for participation, and most did not have access or the funds to rent time-sharing terminals.

At Parc we were lucky to have the funding and a few geniuses to be "
What are the pitfalls in implementing QFD?,"In *Marketing* “the customer is always right”. In *Education* “the customer doesn’t know enough and needs to be taught stronger ideas”.

Most of the important computer technologies in use today — Internet, personal computing, GUIs, etc. — were not thought"
What was the problem that HyperCard solved?,"The question should be rephrased as “For what vital parts of Personal Computing was HyperCard a great advance?”

“Personal Computing” and “Personal Computers” were mostly conceived and defined by the ARPA-IPTO/Parc research community of the 60s and 70s, b"
Are DSLs a good way to represent complex object hierarchies?,"This question seems to assume that “complex object hierarchies” are worth better representation schemes.

I think the more important question of good ways to describe “things that you would like to have instances of” is the one that needs to be treated fi"
How is the food at CU Boulder?,"I graduated from CU Boulder in 1966, so hope there is no food from back then still around! I was a “starving student” back then so my options were limited."
"What does Alan Kay think about the Commodore Amiga (1985) as a multimedia computer or an appealing tool for artists? How does it compare with Alto or Star, or with Sierra machine Atari was working on as you were Chief Scientist at SRL?",I haven’t found a good history of all this — but there might be one somewhere. It is a very complex set of interactions and much of the context needed to get a good picture is beyond the scope of a Quora answer. Part of the complexity is due to the many i
"What does Alan Kay think about considering the creation of software as a design activity, putting it as a third item on the same level as science and art?","This is another case, where instead of a simple question, what is needed are “10 Things” and “20 examples”."
What does Alan Kay think about Problem Frames (by Michael Jackson)?,I try to avoid either praising or criticizing areas that I have not spent some time in dealing with the details. This is one of them. I remember reading at least one of Jackson’s books on his approach to Requirements (but I’ve been living quite a bit in L
What does Alan Kay think about the following research proposal notes about a new software world? (https://osoco.es/thoughts/2020/06/notes-about-a-new-software-world/),"We definitely need a new software world …

I think I can give almost the same answers to both of your recent questions.

Two heuristics I’ve used for more than 50 years now when thinking about “something major”, are first, to try to “write 10 things” abou"
"What does Alan Kay think about the development of software libraries adopting Seymour Papert's constructivism and ""microworlds"" concepts as described in these articles?","“Sure!”

I think I can give almost the same answers to both of your recent questions.

Two heuristics I’ve used for more than 50 years now when thinking about “something major”, are first, to try to “write 10 things” about it, and then to “write 20 exampl"
"What does Alan Kay think of the ""programming as interaction"" perspective? (http://tomasp.net/blog/2018/programming-interaction/)","As the author of the blog — Tomas Petricek — mentions, Smalltalk 50 years ago had a very large number of the things he wants to do (and still does).

However, it is possible that he is not aware of earlier — and even larger along some dimensions — work by"
What will be the potential of a Smalltalk system based on declarative programming instead of imperative?,"Could it then be called a “Smalltalk”?

I think the key phrase here is “based on”, which is used instead of “including” (which it already does).

Still, I think that having a really well tooled and hefty subset of a language be “declarative” would be bene"
"What does Alan Kay think of a new Smalltalk system more focused on the problem than in the solution space (e.g., using the ideas proposed by Michael Jackson or David Harel)?","Any highly extensible language can be made into what was called a “Problem Oriented Language” (POL) in the 60s (and many of the languages back then were in fact POLs — even Algol).

Most languages can be programmed to exhibit any semantics, so I think the"
"Are there other ""it's turtles all the way down"" programming languages apart from the Lisps and Smalltalks?","I’m not sure exactly what you mean by “turtles all the way down” here. It is sometimes used with regard to Smalltalk because every kind of entity in it is a Smalltalk object.

Using this as a guide, we could observe that in certain languages centered arou"
"What happened to the children exposed to Smalltalk at an early age in Xerox PARC, back in the 1970s-1980s? Did some of them grow to become great programmers/scientists. Do they use Smalltalk to this day? Or was there just no follow-up study?","There were no follow-up studies (we couldn’t even get funding from either Xerox or NSF to do the longitudinal learning experiments that we thought were crucial to the research).

And anecdotes are fun, but not much more than that. For example, the Goldeen"
"Why do many projects done by computer researchers (eg. Bret Victor or the VPRI) remain closed-source, even though papers get published about them?","Because many kinds of experimentation are aimed at finding out things, not to produce tools for others to use. This is especially true in the user interface area, where a large number of different experiments are required with different kinds of users, an"
What would be the necessary elements for setting up a biomedical equivalent to PARC?,"Before I write too much, I need to know if you are familiar with Janelia Labs (near Dulles Airport in Virginia). Janelia Research Campus - Wikipedia Research institute in Virginia, USA Janelia Research Campus is a scientific research campus of the Howard "
Why were nearly all the cases of early computers made of plastics?,"“Early” as in “actually early”? As in 1945 to the 1970s? Or “early” as in “relative to your age”?

“Actually early” were basically metal as far as I know and mostly by direct experience. The Control Data 3600 (ca 1963) on which I spent a few years, had a "
What should be learned to deeply understand the 20th and 21st centuries?,"Eric Naughton’s answer is very much pointed in a fruitful direction.

A more general observation is that most human beings since our species started prowling the planet have been content with made up stories about themselves and their kind. This is partly"
"When you say, ""the computer revolution hasn't happened yet"" do you mean that in the sense that, ""the printing press hasn't been invented yet"" or that, ""the printing press has been invented but it will take time before a, ""literary culture"" emerges?","I’ve done a number of talks and written a few essays on this subject — these will give a more expansive answer.

I usually invoke a number of “thinkers about writing and printing” such as Marshall McLuhan, Frank Smith, etc., to set up what I think is a us"
How did they program the first computer knowing that programming a computer requires a computer?,"There’s writing the program, and there’s getting the program into the computer in a form that will run it. In “the old days” — not just in antiquity, but well into the 60s — most programs were written on paper before being punched on cards or typed into i"
"How much about physics, mechanics, and electronics should a computer scientist know about?",I think it’s a very good idea for computerists to have done the work to attain deep fluency in a well established scientific discipline (Physics is a good one). Most people in computing use the “science” in “computer science” more like “library science” t
"How often does Alan Kay find that the real problem is found at a level of abstraction that can’t be addressed by individuals, such as ‘the human condition’ or ‘societal values’?","I’m not sure about all of the question, so please comment to explain more.

Generally speaking the “real problem” is almost always “the human condition” and/or “societal values”.

But these problems can be addressed by both individuals and groups — for ex"
"Were all Wirth languages Algol-like (e.g. Pascal), or were any of them Lisp-like, or even something completely different?","A fun question!

Adriaan Van Wijngaarden was one of the earliest and most colorful computer scientists concerned with programming language design. He was on the Algol committees, and was a bit of an agitator, and especially in the directions of generaliza"
Should writing code be fun?,"I wrote this in a comment to Ian Joyner’s answer. Here it is as an answer. Ian used a great quote by Al Perlis (the first Turing Award winner) about “Computer Science”:

""I think that it's extraordinarily important that we in computer science keep fun in "
"When, and in what degree was today's level of abstraction in programming predicted?","If you explain just what you mean by “abstraction” here (and “level”), I will be happy to attempt an answer."
Have you ever studied optical illusions to use similar principles in your UX designs?,"I have studied them quite a bit — as well as many books by research psychologists, including by Richard Gregory, Roger Shepard, etc. But not to use the principles in the UI designs per se, but as one of the most available routes to understand and test the"
I searched YouTube for Alan Kay with Donald Knuth and found nothing. How does Alan Kay understand the essence of literate programming? Is it to design code like you would have to teach it?,"Don and I have been friends for more than 50 years now. The simple summary of “literate programming” is that “Don is amazing”, both in “many ways” and in how he goes about programming, and what he thinks a program *is*.

He wrote a nice short paper and ex"
"Is it a good way to get an indirect tip on an invention by looking at a software program running, that is morphing into different shapes? If easier to get ideas this way than language, does that prove our language is too simple and must be developed?","I don’t quite understand the first part of your question, but as to the second part, there is quite a bit of evidence that we have what one of the inventors of cognitive psychology — Jerome Bruner — called “multiple ways of learning and knowing and rememb"
"What are the differences between social science, natural science, and humanities?","Several good answers here already, so this will attempt to add more perspective.

Our genetically created brains are set up to be social, and have propensities for learning language and our surrounding culture, including *stories* — our dominant way to re"
Are there any areas apart from user interfaces in which the Model - View - Controller (MVC) pattern could be applied in spirit?,"Sure.

I wrote a paper in the late 70s or early 80s dealing with the idea that “everything” — and more — in the kind of object-oriented programming we were doing could be re-created in very useful ways by generalizing “viewing”. This included making objec"
"Will plain English ever be a programming language, as in Star Trek?","My boss at the National Center for Atmospheric Research in the 60s — Glenn Lewis — in the 50s was a Princeton grad student of von Neumann’s, who — among his many personality idiosyncrasies — was famous for pooh-poohing “higher level languages”.

A great s"
What does Alan Kay think about the paperclip maximizer thought experiment?,"Of course, this is a very old idea in classic science fiction — that Ais, robots, etc., could destroy humans if that would help some goal of theirs.

But consider e.g. Nazi Germany as “intelligence destroying humans as part of goals considered more import"
"Why do we use digital computers for machine learning, AI applications, and natural language and speech processing, if our brains are analog not digital, would it be better if we use analog Computing to mimic our brains?","“Digital” is “Analog handled carefully”. Quite a bit of work in design and technology has to be done to make the noisy voltage levels (or any other means of transmitting a signal) be interpreted as discrete values.

A high percentage of the bits on CDROMs"
What was the first personal computer to use the GUI?,It is really annoying to have “someone” change a question after it has been answered — especially if the answer no longer fits the new question. That is what happened here. The original question asked about “personal computers” and my answer is below. Now
